,Hour,GHI,T-Td,Td,TARGET,DHI,DNI,WS,RH,T
288,0,0,7.873413403616691,-18.57341340361669,0.0,0,0,1.7,52.4,-10.7
289,0,0,8.072542317534953,-18.572542317534953,0.0,0,0,1.7,51.58,-10.5
290,1,0,8.60129694358104,-18.90129694358104,0.0,0,0,1.7,49.37,-10.3
291,1,0,8.802857655141706,-18.902857655141705,0.0,0,0,1.7,48.59,-10.1
292,2,0,9.123391393398617,-19.123391393398617,0.0,0,0,1.7,47.31,-10.0
293,2,0,9.32354972273049,-19.12354972273049,0.0,0,0,1.6,46.57,-9.8
294,3,0,9.720070662860023,-19.320070662860022,0.0,0,0,1.6,45.08,-9.6
295,3,0,9.919510023090547,-19.319510023090547,0.0,0,0,1.6,44.38,-9.4
296,4,0,10.335365391655149,-19.535365391655148,0.0,0,0,1.6,42.89,-9.2
297,4,0,10.536538782915759,-19.53653878291576,0.0,0,0,1.5,42.22,-9.0
298,5,0,10.999072410086153,-19.799072410086154,0.0,0,0,1.5,40.64,-8.8
299,5,0,11.199452156634104,-19.799452156634104,0.0,0,0,1.5,40.01,-8.6
300,6,0,11.59061992279325,-19.99061992279325,0.0,0,0,1.5,38.75,-8.4
301,6,0,11.877637480782282,-19.97763748078228,0.0,0,0,1.4,37.9,-8.1
302,7,0,12.345584947963118,-20.045584947963118,0.0,0,0,1.4,36.53,-7.7
303,7,211,13.447584509080363,-20.047584509080362,1.4078202690000001,12,199,1.3,33.56,-6.6
304,8,610,12.79707275257041,-18.19707275257041,7.508275754,24,586,1.1,35.87,-5.4
305,8,817,14.698590283056674,-18.198590283056674,15.76704987,33,784,1.3,31.09,-3.5
306,9,912,14.526974112312125,-16.026974112312125,23.55620557,38,874,1.5,32.17,-1.5
307,9,975,15.929670073810732,-16.02967007381073,30.78213765,43,932,1.2,29.04,-0.1
308,10,1018,17.801533749164452,-16.50153374916445,37.069382,47,971,1.0,25.24,1.3
309,10,1047,18.8017277873558,-16.5017277873558,42.2304774,50,997,0.7,23.5,2.3
310,11,1067,19.77700161023887,-16.57700161023887,46.17153193,54,1013,0.5,21.91,3.2
311,11,1078,20.289209114548925,-16.589209114548925,48.61122381,55,1023,0.6,21.13,3.7
312,12,1082,20.075408454466842,-15.875408454466843,49.54939214,55,1027,0.7,21.65,4.2
313,12,1080,20.27490527085608,-15.874905270856082,49.08006653,54,1026,0.9,21.35,4.4
314,13,1071,19.851443940713935,-15.351443940713937,47.10930463,53,1018,1.1,22.14,4.5
315,13,1055,19.748882533533312,-15.348882533533313,43.73099618,52,1003,1.2,22.3,4.4
316,14,1030,19.160497855261003,-14.960497855261002,39.03891502,50,980,1.2,23.35,4.2
317,14,992,18.26287251793702,-14.96287251793702,33.03325483,46,946,0.9,24.87,3.3
318,15,937,14.009994339671902,-11.509994339671902,26.08899314,41,896,0.7,34.82,2.5
319,15,854,12.910647017399492,-11.510647017399492,18.39390098,35,819,0.6,37.66,1.4
320,16,718,16.514941418848284,-16.114941418848286,10.41706861,27,691,0.5,27.81,0.4
321,16,379,16.514941418848284,-16.114941418848286,3.003118878,17,362,0.5,27.81,0.4
322,17,0,16.165646621076462,-17.36564662107646,0.0,0,0,0.6,28.14,-1.2
323,17,0,15.164141811655764,-17.364141811655763,0.0,0,0,0.9,30.29,-2.2
324,18,0,13.474760593744051,-16.67476059374405,0.0,0,0,1.2,34.56,-3.2
325,18,0,12.660860243617819,-16.66086024361782,0.0,0,0,1.3,36.73,-4.0
326,19,0,10.986206392030532,-15.886206392030532,0.0,0,0,1.5,41.92,-4.9
327,19,0,10.68659299018481,-15.886592990184809,0.0,0,0,1.5,42.88,-5.2
328,20,0,9.931795251741859,-15.331795251741859,0.0,0,0,1.6,45.58,-5.4
329,20,0,9.931795251741859,-15.331795251741859,0.0,0,0,1.7,45.58,-5.4
330,21,0,10.257223593077148,-15.657223593077148,0.0,0,0,1.8,44.37,-5.4
331,21,0,10.47186262908469,-15.671862629084691,0.0,0,0,1.7,43.65,-5.2
332,22,0,11.365293416611136,-16.265293416611136,0.0,0,0,1.5,40.62,-4.9
333,22,0,11.365293416611136,-16.265293416611136,0.0,0,0,1.5,40.62,-4.9
334,23,0,11.788922124944706,-16.688922124944707,0.0,0,0,1.5,39.21,-4.9
335,23,0,11.69111212261566,-16.69111212261566,0.0,0,0,1.5,39.5,-5.0
288,0,0,6.474609951226901,-7.8746099512269,0.0,0,0,3.3,61.4,-1.4
289,0,0,6.574963484160593,-7.874963484160593,0.0,0,0,3.3,60.95,-1.3
290,1,0,6.788481037460158,-8.088481037460157,0.0,0,0,3.3,59.95,-1.3
291,1,0,6.886881213977776,-8.086881213977776,0.0,0,0,3.3,59.52,-1.2
292,2,0,7.166098848883999,-8.266098848883999,0.0,0,0,3.4,58.27,-1.1
293,2,0,7.28293012623814,-8.28293012623814,0.0,0,0,3.3,57.77,-1.0
294,3,0,7.601571016135014,-8.401571016135014,0.0,0,0,3.3,56.41,-0.8
295,3,0,7.601571016135014,-8.401571016135014,0.0,0,0,3.2,56.41,-0.8
296,4,0,7.7245856510190825,-8.424585651019083,0.0,0,0,3.2,55.9,-0.7
297,4,0,7.924964409053569,-8.424964409053569,0.0,0,0,3.2,55.09,-0.5
298,5,0,7.812748906645837,-8.212748906645837,0.0,0,0,3.1,55.6,-0.4
299,5,0,8.012262843935536,-8.212262843935536,0.0,0,0,3.0,54.8,-0.2
300,6,0,7.727630544836524,-7.8276305448365235,0.0,0,0,2.9,56.05,-0.1
301,6,0,7.9260914050586635,-7.826091405058664,0.0,0,0,2.8,55.25,0.1
302,7,0,7.567244771486715,-7.367244771486715,0.0,0,0,2.7,56.83,0.2
303,7,104,8.667483965427564,-7.367483965427564,1.407698051,12,92,2.6,52.5,1.3
304,8,351,8.036838354435744,-5.736838354435744,6.663030879,36,315,2.6,55.38,2.3
305,8,731,9.136938599088815,-5.736938599088815,16.61045364,45,686,2.5,51.23,3.4
306,9,773,8.562808997686291,-3.962808997686292,22.99156763,54,719,2.4,53.84,4.6
307,9,891,9.460950212287903,-3.9609502122879037,31.24945424,57,834,2.2,50.58,5.5
308,10,911,10.152011920128263,-3.6520119201282633,36.87958121,65,846,2.0,48.31,6.5
309,10,763,10.868405464561237,-3.668405464561236,36.87929748,109,654,1.8,45.99,7.2
310,11,662,11.178718724701746,-3.278718724701746,36.59749456,150,512,1.5,45.14,7.9
311,11,910,11.5942891560066,-3.2942891560065997,46.26278332,88,822,1.2,43.88,8.3
312,12,967,12.03456289085495,-3.23456289085495,49.26537074,77,890,0.9,42.61,8.8
313,12,1028,12.132489179333046,-3.2324891793330455,51.79896144,72,956,0.7,42.33,8.9
314,13,999,11.824467952810195,-2.8244679528101955,49.17142385,70,929,0.4,43.34,9.0
315,13,953,11.3269584764239,-2.8269584764238997,44.85509497,68,885,0.5,44.82,8.5
316,14,917,8.43294906695935,-0.43294906695935104,40.16336014,65,852,0.6,55.28,8.0
317,14,890,7.433354581887104,-0.4333545818871046,34.81488407,56,834,0.7,59.18,7.0
318,15,825,7.41059718707011,-1.5105971870701098,28.3402213,57,768,0.9,59.0,5.9
319,15,617,6.211682309370323,-1.511682309370323,19.14397813,65,552,1.0,64.12,4.7
320,16,504,7.424102379914455,-4.0241023799144555,12.19976821,50,454,1.1,58.3,3.4
321,16,329,7.424102379914455,-4.0241023799144555,5.536817879,31,298,1.1,58.3,3.4
322,17,70,6.945124056186116,-5.745124056186116,0.8446197590000001,8,62,1.2,59.87,1.2
323,17,0,6.245851496489049,-5.745851496489049,0.0,0,0,1.2,62.96,0.5
324,18,0,6.361782757586192,-6.4617827575861915,0.0,0,0,1.2,62.26,-0.1
325,18,0,5.960949887941265,-6.460949887941265,0.0,0,0,1.3,64.1,-0.5
326,19,0,6.0619997698963735,-6.961999769896374,0.0,0,0,1.4,63.51,-0.9
327,19,0,6.078408316082792,-6.978408316082793,0.0,0,0,1.7,63.43,-0.9
328,20,0,6.363391740780565,-7.363391740780565,0.0,0,0,1.9,62.03,-1.0
329,20,0,6.477844182917468,-7.377844182917468,0.0,0,0,2.4,61.51,-0.9
330,21,0,7.090880238603635,-7.890880238603635,0.0,0,0,2.9,58.69,-0.8
331,21,0,7.106294409462179,-7.906294409462179,0.0,0,0,3.3,58.62,-0.8
332,22,0,7.488723108689609,-8.388723108689609,0.0,0,0,3.8,56.88,-0.9
333,22,0,7.50456079919568,-8.40456079919568,0.0,0,0,4.2,56.81,-0.9
334,23,0,7.751750318691828,-8.751750318691828,0.0,0,0,4.7,55.7,-1.0
335,23,0,8.069100663705823,-8.769100663705823,0.0,0,0,5.0,54.42,-0.7
288,0,0,7.034352693519993,-13.734352693519993,0.0,0,0,2.7,57.37,-6.7
289,0,0,7.034352693519993,-13.734352693519993,0.0,0,0,2.7,57.37,-6.7
290,1,0,7.100345025289839,-13.700345025289838,0.0,0,0,2.7,57.09,-6.6
291,1,0,7.0150969818481625,-13.715096981848163,0.0,0,0,2.6,57.46,-6.7
292,2,0,6.978798441967062,-13.678798441967063,0.0,0,0,2.6,57.63,-6.7
293,2,0,6.77899213242479,-13.67899213242479,0.0,0,0,2.6,58.52,-6.9
294,3,0,6.792233162895725,-13.792233162895725,0.0,0,0,2.6,58.43,-7.0
295,3,0,6.69241451677801,-13.79241451677801,0.0,0,0,2.7,58.88,-7.1
296,4,0,6.674330628379102,-13.874330628379102,0.0,0,0,2.7,58.94,-7.2
297,4,0,6.57341766069887,-13.87341766069887,0.0,0,0,2.7,59.4,-7.3
298,5,0,6.5610311731513855,-13.861031173151385,0.0,0,0,2.7,59.46,-7.3
299,5,0,6.5610311731513855,-13.861031173151385,0.0,0,0,2.7,59.46,-7.3
300,6,0,6.562389568810349,-13.762389568810349,0.0,0,0,2.7,59.48,-7.2
301,6,0,7.748343211609594,-13.748343211609594,0.0,0,0,3.0,54.32,-6.0
302,7,234,7.4051420325282775,-12.205142032528277,3.097143327,21,213,3.2,56.19,-4.8
303,7,411,9.105899984917833,-12.205899984917833,9.385107476,46,365,3.2,49.47,-3.1
304,8,551,8.577120278528612,-9.877120278528613,17.36210538,69,482,3.3,52.13,-1.3
305,8,684,10.177148703269,-9.877148703268999,26.08962393,81,603,2.9,46.4,0.3
306,9,904,9.602663947462807,-7.702663947462806,38.289134499999996,72,832,2.4,49.01,1.9
307,9,933,11.201074211587857,-7.701074211587857,45.889846899999995,89,844,1.9,43.76,3.5
308,10,885,12.187400422059925,-7.187400422059925,49.83048465,125,760,1.5,40.99,5.0
309,10,903,13.087554242273512,-7.187554242273511,54.61592317,133,770,1.2,38.51,5.9
310,11,1035,13.779656595160963,-6.9796565951609635,63.99946935,103,932,1.0,36.78,6.8
311,11,1055,14.18193805176347,-6.981938051763471,67.37744425,102,953,0.9,35.78,7.2
312,12,1012,14.487481714209572,-6.787481714209572,66.34483469,116,896,0.8,35.1,7.7
313,12,1026,14.689591781436086,-6.789591781436085,67.00156696,111,915,0.7,34.62,7.9
314,13,1083,14.595863426046934,-6.495863426046935,68.6905311,93,990,0.6,34.93,8.1
315,13,1003,14.395051341698434,-6.495051341698433,62.02806129,104,899,0.6,35.41,7.9
316,14,1038,13.80523119268948,-6.1052311926894784,60.05755898,88,950,0.5,36.98,7.7
317,14,1040,13.105404558736591,-6.105404558736592,55.4598288,82,958,0.6,38.79,7.0
318,15,972,10.849997450594733,-4.549997450594733,46.92068992,82,890,0.7,45.79,6.3
319,15,802,9.749916530162213,-4.549916530162214,35.37862791,95,707,0.9,49.41,5.2
320,16,706,8.548647511330737,-4.448647511330737,26.18237803,77,629,1.0,53.76,4.1
321,16,667,8.548647511330737,-4.448647511330737,18.48719883,53,614,1.0,53.76,4.1
322,17,512,7.785920468870006,-6.585920468870006,9.947743824,38,474,1.0,56.15,1.2
323,17,363,6.4692720487810496,-6.569272048781049,3.5662232639999996,21,342,1.0,61.75,-0.1
324,18,0,6.585565031701553,-7.885565031701553,0.0,0,0,1.0,60.9,-1.3
325,18,0,5.684868743434014,-7.884868743434014,0.0,0,0,1.0,65.07,-2.2
326,19,0,5.225851857927571,-8.225851857927571,0.0,0,0,1.1,67.24,-3.0
327,19,0,4.826169901343601,-8.226169901343601,0.0,0,0,1.3,69.27,-3.4
328,20,0,4.825352550276837,-8.525352550276837,0.0,0,0,1.5,69.21,-3.7
329,20,0,4.7252372768527335,-8.525237276852733,0.0,0,0,2.0,69.73,-3.8
330,21,0,5.116989951587023,-9.016989951587023,0.0,0,0,2.4,67.61,-3.9
331,21,0,4.915254452946918,-9.015254452946918,0.0,0,0,2.7,68.64,-4.1
332,22,0,5.287463817569552,-9.687463817569553,0.0,0,0,3.0,66.6,-4.4
333,22,0,5.187982300343052,-9.687982300343052,0.0,0,0,3.1,67.1,-4.5
334,23,0,5.647648674324364,-10.247648674324363,0.0,0,0,3.1,64.69,-4.6
335,23,0,5.547481609050254,-10.247481609050254,0.0,0,0,3.1,65.18,-4.7
288,0,0,4.631263918613197,-18.831263918613196,0.0,0,0,2.2,67.95,-14.2
289,0,0,4.429738518385927,-18.829738518385927,0.0,0,0,2.4,69.08,-14.4
290,1,0,5.177489063279268,-19.877489063279267,0.0,0,0,2.6,64.73,-14.7
291,1,0,5.177489063279268,-19.877489063279267,0.0,0,0,2.7,64.73,-14.7
292,2,0,5.674635415971146,-20.474635415971147,0.0,0,0,2.8,61.99,-14.8
293,2,0,5.874711362539346,-20.474711362539345,0.0,0,0,2.8,60.98,-14.6
294,3,0,6.1072699402726105,-20.50726994027261,0.0,0,0,2.9,59.82,-14.4
295,3,0,6.309062331989441,-20.50906233198944,0.0,0,0,2.8,58.84,-14.2
296,4,0,6.245317900989768,-20.245317900989768,0.0,0,0,2.8,59.22,-14.0
297,4,0,6.345106406596214,-20.245106406596214,0.0,0,0,2.7,58.74,-13.9
298,5,0,6.285037887074267,-19.985037887074267,0.0,0,0,2.7,59.1,-13.7
299,5,0,6.687109202745244,-19.987109202745245,0.0,0,0,2.6,57.2,-13.3
300,6,0,6.622693427033701,-19.5226934270337,0.0,0,0,2.6,57.63,-12.9
301,6,99,8.825902125505682,-19.52590212550568,2.064896091,18,81,2.4,48.31,-10.7
302,7,361,7.266300270667919,-15.66630027066792,8.728658317999999,47,314,2.2,55.82,-8.4
303,7,766,10.070203621085572,-15.670203621085571,21.30477928,55,711,2.0,45.0,-5.6
304,8,918,8.024729845756564,-10.724729845756565,32.2846278,57,861,1.8,54.05,-2.7
305,8,1002,9.425347387453616,-10.725347387453617,42.98294198,65,937,1.2,48.75,-1.3
306,9,1037,10.237498696210276,-10.037498696210276,51.99160986,76,961,0.5,46.15,0.2
307,9,1089,10.936672253531775,-10.036672253531775,61.09436397,78,1011,0.5,43.88,0.9
308,10,1113,10.034396154698095,-8.434396154698096,68.32005347,82,1031,0.5,47.31,1.6
309,10,1132,10.633620198194084,-8.433620198194085,74.32572191,87,1045,0.5,45.33,2.2
310,11,1048,11.118472311689366,-8.218472311689366,73.85592569,143,905,0.6,43.86,2.9
311,11,1025,11.617883304744208,-8.217883304744207,74.88780792,169,856,0.6,42.34,3.4
312,12,1091,12.145214451999575,-8.245214451999574,79.4857453,129,962,0.6,40.79,3.9
313,12,1131,12.542709482654868,-8.242709482654869,81.54995161,110,1021,0.5,39.67,4.3
314,13,1146,12.759181400715331,-8.059181400715332,80.70500583,94,1052,0.5,39.13,4.7
315,13,1112,12.958629341033427,-8.058629341033427,75.91884442,101,1011,0.6,38.59,4.9
316,14,1087,12.888887129400203,-7.788887129400203,70.47580573,100,987,0.8,38.86,5.1
317,14,1091,12.789294397621257,-7.789294397621257,65.31453356,85,1006,1.1,39.13,5.0
318,15,1061,12.111379392518806,-7.311379392518806,57.61955712,79,982,1.3,41.17,4.8
319,15,1022,11.512126805602078,-7.312126805602078,48.89248732,73,949,1.3,42.93,4.2
320,16,969,9.205600078960948,-5.605600078960948,39.32070495,66,903,1.3,51.02,3.6
321,16,893,9.205600078960948,-5.605600078960948,29.09169101,57,836,1.3,51.02,3.6
322,17,775,6.359841403221424,-6.6598414032214235,18.6757892,46,729,0.8,62.22,-0.3
323,17,578,5.044189631377003,-6.644189631377004,8.821855604,33,545,0.7,68.5,-1.6
324,18,161,7.283138085742701,-10.183138085742701,1.407763027,13,148,0.6,57.26,-2.9
325,18,0,6.684141732145477,-10.184141732145477,0.0,0,0,0.6,59.87,-3.5
326,19,0,6.665919485923178,-10.765919485923177,0.0,0,0,0.6,59.8,-4.1
327,19,0,6.1657985032291425,-10.765798503229142,0.0,0,0,1.0,62.09,-4.6
328,20,0,5.7821647825327185,-10.982164782532719,0.0,0,0,1.4,63.86,-5.2
329,20,0,5.481833215854762,-10.981833215854762,0.0,0,0,1.6,65.33,-5.5
330,21,0,5.550997122068591,-11.350997122068591,0.0,0,0,1.8,64.9,-5.8
331,21,0,5.35017036493859,-11.35017036493859,0.0,0,0,1.9,65.9,-6.0
332,22,0,5.664922962220517,-11.764922962220517,0.0,0,0,2.1,64.24,-6.1
333,22,0,5.565295430691365,-11.765295430691365,0.0,0,0,2.2,64.73,-6.2
334,23,0,5.839214896817512,-12.139214896817512,0.0,0,0,2.3,63.3,-6.3
335,23,0,5.839214896817512,-12.139214896817512,0.0,0,0,2.3,63.3,-6.3
288,0,0,8.201687235352418,9.498312764647581,0.0,0,0,1.1,58.67,17.7
289,0,0,7.904228722460843,9.495771277539156,0.0,0,0,1.2,59.78,17.4
290,1,0,7.722078287747349,9.27792171225265,0.0,0,0,1.2,60.42,17.0
291,1,0,7.5222023059303655,9.277797694069635,0.0,0,0,1.3,61.19,16.8
292,2,0,7.454253229871361,9.04574677012864,0.0,0,0,1.4,61.4,16.5
293,2,0,7.255696737906257,9.044303262093743,0.0,0,0,1.5,62.18,16.3
294,3,0,7.385896094936811,8.71410390506319,0.0,0,0,1.6,61.59,16.1
295,3,0,7.18611711839881,8.71388288160119,0.0,0,0,1.7,62.38,15.9
296,4,0,7.436342623666,8.363657376334,0.0,0,0,1.9,61.31,15.8
297,4,0,8.036123568164747,8.363876431835251,0.0,0,0,2.1,59.01,16.4
298,5,28,8.728764001284427,8.271235998715573,0.18766068800000002,3,25,2.4,56.45,17.0
299,5,341,10.624575525329721,8.275424474670277,4.222277303,23,318,2.8,50.11,18.9
300,6,569,12.569664287388182,8.230335712611819,11.72830311,39,530,3.3,44.41,20.8
301,6,710,14.960748460324917,8.239251539675083,20.64126891,49,661,2.7,38.39,23.2
302,7,805,18.716179205430596,6.783820794569404,30.21054793,58,747,2.2,30.29,25.5
303,7,872,20.706668390699917,6.7933316093000835,39.77947423,64,808,1.6,26.94,27.5
304,8,922,25.052767814966717,4.447232185033283,49.16034482,70,852,0.9,20.39,29.5
305,8,959,25.962044144000497,4.437955855999501,57.97861165,74,885,0.9,19.35,30.4
306,9,986,26.741999009911115,4.658000990088882,66.0461066,78,908,1.0,18.56,31.4
307,9,1007,27.432198206369687,4.667801793630314,73.17552088,83,924,1.2,17.85,32.1
308,10,787,27.882602238803088,4.917397761196911,64.26262315,251,536,1.4,17.46,32.8
309,10,989,28.388094657907935,4.911905342092062,81.33633286,143,846,1.7,16.97,33.3
310,11,670,28.785494729425654,5.014505270574344,58.72694866,269,401,1.9,16.62,33.8
311,11,503,29.00779259285568,4.99220740714432,46.06209008,366,137,2.1,16.41,34.0
312,12,795,29.181802975774747,5.11819702422525,71.39131352,375,420,2.3,16.28,34.3
313,12,598,29.181802975774747,5.11819702422525,54.41125078,387,211,2.5,16.28,34.3
314,13,738,28.873052550371348,5.326947449628657,66.04407355,395,343,2.6,16.61,34.2
315,13,620,28.678379870005102,5.3216201299948995,54.59905586,325,295,2.7,16.79,34.0
316,14,894,28.392469912095457,5.407530087904542,73.45559233,233,661,2.7,17.08,33.8
317,14,951,27.89630832737127,5.403691672628728,72.61167432,147,804,2.7,17.56,33.3
318,15,882,27.69731346367681,5.202686536323188,63.98111067,172,710,2.6,17.71,32.9
319,15,806,27.096533713795285,5.203466286204711,55.35059281,192,614,2.5,18.32,32.3
320,16,608,26.81618041906067,4.98381958093933,40.99718986,210,398,2.3,18.56,31.8
321,16,617,26.81618041906067,4.98381958093933,34.52394936,134,483,2.3,18.56,31.8
322,17,721,24.391182214164445,5.808817785835554,32.17913838,98,623,1.7,21.53,30.2
323,17,601,22.601702842712932,5.798297157287068,22.42264216,84,517,1.3,23.87,28.4
324,18,460,16.201847225366755,10.398152774633248,13.60396422,64,396,0.9,36.24,26.6
325,18,288,14.904765566473115,10.395234433526886,6.2860595089999975,40,248,1.1,39.13,25.3
326,19,56,13.974964810962959,9.92503518903704,0.9382322759999999,9,47,1.2,41.23,23.9
327,19,0,13.280436065398007,9.919563934601992,0.0,0,0,1.5,42.99,23.2
328,20,0,12.747663355213392,9.85233664478661,0.0,0,0,1.8,44.38,22.6
329,20,0,12.250773673916738,9.849226326083263,0.0,0,0,2.2,45.74,22.1
330,21,0,11.614971244593528,9.885028755406472,0.0,0,0,2.6,47.56,21.5
331,21,0,11.315565833545621,9.884434166454378,0.0,0,0,2.9,48.44,21.2
332,22,0,10.721430958198352,10.178569041801646,0.0,0,0,3.2,50.32,20.9
333,22,0,10.52224481992697,10.17775518007303,0.0,0,0,3.4,50.94,20.7
334,23,0,10.157910024076727,10.342089975923273,0.0,0,0,3.6,52.14,20.5
335,23,0,9.957133119643665,10.342866880356336,0.0,0,0,3.5,52.79,20.3
288,0,0,2.154580013220542,14.745419986779456,0.0,0,0,2.0,87.14,16.9
289,0,0,2.0535326883070404,14.74646731169296,0.0,0,0,1.9,87.7,16.8
290,1,0,2.2905609251481565,14.409439074851843,0.0,0,0,1.8,86.36,16.7
291,1,0,2.190555912423335,14.409444087576667,0.0,0,0,1.6,86.91,16.6
292,2,0,2.364190292592344,14.135809707407656,0.0,0,0,1.4,85.93,16.5
293,2,0,2.0652552394876302,14.134744760512369,0.0,0,0,1.2,87.58,16.2
294,3,0,2.203637183621133,13.696362816378867,0.0,0,0,0.9,86.77,15.9
295,3,0,1.905388587087982,13.694611412912018,0.0,0,0,0.9,88.44,15.6
296,4,0,2.1546689395874967,13.145331060412504,0.0,0,0,0.8,86.99,15.3
297,4,0,2.7533873748604023,13.146612625139598,0.0,0,0,0.9,83.72,15.9
298,5,60,3.0722847740298445,13.427715225970156,0.8444777379999999,8,52,1.0,82.07,16.5
299,5,290,4.348503890132276,13.451496109867724,5.535941622,33,257,1.3,75.71,17.8
300,6,541,5.026416795983389,13.973583204016611,13.69892908,51,490,1.6,72.65,19.0
301,6,679,6.8210214977635335,13.978978502236467,22.612168399999998,64,615,1.8,65.01,20.8
302,7,777,10.154445521122046,12.445554478877956,31.99417783,72,705,2.0,52.7,22.6
303,7,847,11.850155616078123,12.449844383921878,41.46968427,79,768,2.2,47.58,24.3
304,8,899,16.057214133987685,10.042785866012318,50.56949669,83,816,2.3,36.45,26.1
305,8,940,17.250632044392482,10.04936795560752,59.29406365,89,851,2.3,33.98,27.3
306,9,970,18.835352774655483,9.564647225344514,67.26792648,92,878,2.2,30.85,28.4
307,9,993,19.731890654029392,9.56810934597061,74.3035853,95,898,2.3,29.29,29.3
308,10,1011,20.79832126861426,9.501678731385741,80.40084920000002,98,913,2.3,27.53,30.3
309,10,1025,21.49286172535206,9.50713827464794,85.37247344,96,929,2.5,26.46,31.0
310,11,1036,22.01651880488356,9.683481195116437,89.12442377,93,943,2.7,25.73,31.7
